run_id,wd,wa,wc,ws,score_dyn_boost,gradient_decay,convergence,epochs,trial,success_rate,avg_peak_swing,avg_mean_swing,objective,elapsed_min
P1_wd00_wa03,0.0,0.3,1.5,10.0,5.0,1,1,30,50,1.0,29.54,7.61,33.34,291.7
P1_wd16_wa03,16.0,0.3,1.5,10.0,5.0,1,1,30,51,1.0,23.52,6.88,26.96,286.9
P1_wd16_wa20,16.0,2.0,1.5,10.0,5.0,1,1,30,52,1.0,21.58,6.02,24.59,284.0
P1_wd48_wa03,48.0,0.3,1.5,10.0,5.0,1,1,30,53,0.6,20.56,6.55,63.83,296.0
P1_wd48_wa20,48.0,2.0,1.5,10.0,5.0,1,1,30,54,0.6,20.42,7.39,64.12,316.3
P1_wd75_wa03,75.0,0.3,1.5,10.0,5.0,1,1,30,55,1.0,24.48,7.21,28.08,325.2
P1_wd75_wa20,75.0,2.0,1.5,10.0,5.0,1,1,30,56,1.0,16.72,6.23,19.84,290.0
P1_wd32_wa10,32.0,1.0,1.5,10.0,5.0,1,1,30,57,1.0,18.04,6.13,21.1,291.9
P2_best_nodecay,75.0,2.0,1.5,10.0,5.0,0,1,30,58,0.6,14.66,4.91,57.12,300.2
P2_best_noconv,75.0,2.0,1.5,10.0,5.0,1,0,30,59,1.0,16.84,6.23,19.95,297.5
P2_best_neither,75.0,2.0,1.5,10.0,5.0,0,0,30,60,0.6,11.12,3.36,52.8,295.7
P2_best_both,75.0,2.0,1.5,10.0,5.0,1,1,30,61,1.0,16.96,5.88,19.9,292.8
